technique_ID,Azure AD,Containers,Google Workspace,IaaS,Linux,Network,Office 365,PRE,SaaS,Windows,macOS
T1562.009,0,0,0,0,0,0,0,0,0,1,0
T1562.010,0,0,0,0,1,0,0,0,0,1,1
T1562.011,0,0,0,0,1,0,0,0,0,1,1
T1563,0,0,0,0,1,0,0,0,0,1,1
T1563.001,0,0,0,0,1,0,0,0,0,0,1
T1563.002,0,0,0,0,0,0,0,0,0,1,0
T1564,0,0,0,0,1,0,1,0,0,1,1
T1564.001,0,0,0,0,1,0,0,0,0,1,1
T1564.002,0,0,0,0,1,0,0,0,0,1,1
T1564.003,0,0,0,0,1,0,0,0,0,1,1
T1564.004,0,0,0,0,0,0,0,0,0,1,0
T1564.005,0,0,0,0,1,0,0,0,0,1,1
T1564.006,0,0,0,0,1,0,0,0,0,1,1
T1564.007,0,0,0,0,1,0,0,0,0,1,1
T1564.008,0,0,1,0,1,0,1,0,0,1,1
T1564.009,0,0,0,0,0,0,0,0,0,0,1
T1564.010,0,0,0,0,0,0,0,0,0,1,0
T1565,0,0,0,0,1,0,0,0,0,1,1
T1565.001,0,0,0,0,1,0,0,0,0,1,1
T1565.002,0,0,0,0,1,0,0,0,0,1,1
T1565.003,0,0,0,0,1,0,0,0,0,1,1
T1566,0,0,1,0,1,0,1,0,1,1,1
T1566.001,0,0,0,0,1,0,0,0,0,1,1
T1566.002,0,0,1,0,1,0,1,0,1,1,1
T1566.003,0,0,0,0,1,0,0,0,0,1,1
T1567,0,0,0,0,1,0,0,0,0,1,1
T1567.001,0,0,0,0,1,0,0,0,0,1,1
T1567.002,0,0,0,0,1,0,0,0,0,1,1
T1567.003,0,0,0,0,1,0,0,0,0,1,1
T1568,0,0,0,0,1,0,0,0,0,1,1
T1568.001,0,0,0,0,1,0,0,0,0,1,1
T1568.002,0,0,0,0,1,0,0,0,0,1,1
T1568.003,0,0,0,0,1,0,0,0,0,1,1
T1569,0,0,0,0,1,0,0,0,0,1,1
T1569.001,0,0,0,0,0,0,0,0,0,0,1
T1569.002,0,0,0,0,0,0,0,0,0,1,0
T1570,0,0,0,0,1,0,0,0,0,1,1
T1571,0,0,0,0,1,0,0,0,0,1,1
T1572,0,0,0,0,1,0,0,0,0,1,1
T1573,0,0,0,0,1,0,0,0,0,1,1
T1573.001,0,0,0,0,1,0,0,0,0,1,1
T1573.002,0,0,0,0,1,0,0,0,0,1,1
T1574,0,0,0,0,1,0,0,0,0,1,1
T1574.001,0,0,0,0,0,0,0,0,0,1,0
T1574.002,0,0,0,0,0,0,0,0,0,1,0
T1574.004,0,0,0,0,0,0,0,0,0,0,1
T1574.005,0,0,0,0,0,0,0,0,0,1,0
T1574.006,0,0,0,0,1,0,0,0,0,0,1
T1574.007,0,0,0,0,0,0,0,0,0,1,0
T1574.008,0,0,0,0,0,0,0,0,0,1,0
T1574.009,0,0,0,0,0,0,0,0,0,1,0
T1574.010,0,0,0,0,0,0,0,0,0,1,0
T1574.011,0,0,0,0,0,0,0,0,0,1,0
T1574.012,0,0,0,0,0,0,0,0,0,1,0
T1574.013,0,0,0,0,0,0,0,0,0,1,0
T1578,0,0,0,1,0,0,0,0,0,0,0
T1578.001,0,0,0,1,0,0,0,0,0,0,0
T1578.002,0,0,0,1,0,0,0,0,0,0,0
T1578.003,0,0,0,1,0,0,0,0,0,0,0
T1578.004,0,0,0,1,0,0,0,0,0,0,0
T1580,0,0,0,1,0,0,0,0,0,0,0
T1583,0,0,0,0,0,0,0,1,0,0,0
T1583.001,0,0,0,0,0,0,0,1,0,0,0
T1583.002,0,0,0,0,0,0,0,1,0,0,0
T1583.003,0,0,0,0,0,0,0,1,0,0,0
T1583.004,0,0,0,0,0,0,0,1,0,0,0
T1583.005,0,0,0,0,0,0,0,1,0,0,0
T1583.006,0,0,0,0,0,0,0,1,0,0,0
T1583.007,0,0,0,0,0,0,0,1,0,0,0
T1583.008,0,0,0,0,0,0,0,1,0,0,0
